date,pv,uv,purchases
2019-10-01,1243715,190188,19305.0
2019-10-02,1190853,184965,19469.0
2019-10-03,1126624,170668,19255.0
2019-10-04,1415939,209410,27039.0
2019-10-05,1329334,194958,23492.0
2019-10-06,1317163,193210,22169.0
2019-10-07,1199974,186951,21378.0
2019-10-08,1370077,221204,23071.0
2019-10-09,1346934,214140,22747.0
2019-10-10,1283355,205321,21992.0
2019-10-11,1494572,230533,26224.0
2019-10-12,1479143,208355,25373.0
2019-10-13,1638290,225942,29561.0
2019-10-14,1453355,209089,28405.0
2019-10-15,1540670,230135,26371.0
2019-10-16,1520985,230199,31393.0
2019-10-17,1405852,208477,28317.0
2019-10-18,1480459,229463,25849.0
2019-10-19,1448038,217920,24657.0
2019-10-20,1508757,231849,25097.0
2019-10-21,1404141,225269,25165.0
2019-10-22,1415885,223384,25383.0
2019-10-23,1380024,219100,24730.0
2019-10-24,1315309,206937,23999.0
2019-10-25,1433864,223258,23883.0
2019-10-26,1346157,202172,22653.0
2019-10-27,1387400,201359,23401.0
2019-10-28,1260192,195563,21111.0
2019-10-29,1227001,193168,20372.0
2019-10-30,1209557,191965,20815.0
2019-10-31,1244923,198571,20097.0
2019-11-01,1444754,223108,22457.0
2019-11-02,1554934,234685,21863.0
2019-11-03,1567040,240187,22145.0
2019-11-04,1792508,275612,26889.0
2019-11-05,1716759,262338,24872.0
2019-11-06,1694224,256887,25319.0
2019-11-07,1796237,278988,24862.0
2019-11-08,1893950,286053,25714.0
2019-11-09,1875584,268643,22767.0
2019-11-10,1938354,276198,22878.0
2019-11-11,2006897,292400,24930.0
2019-11-12,1985382,285994,22725.0
2019-11-13,2016709,285407,22548.0
2019-11-14,3064736,308842,22124.0
2019-11-15,6205340,379786,0.0
2019-11-16,6488924,487327,68247.0
2019-11-17,6379921,487501,185195.0
2019-11-18,2018957,319537,28537.0
2019-11-19,1726197,290798,24967.0
2019-11-20,1697436,291900,24947.0
2019-11-21,1674077,287079,25266.0
2019-11-22,1565866,249401,24187.0
2019-11-23,1559514,249362,22242.0
2019-11-24,1589431,240526,23163.0
2019-11-25,1591035,257613,24827.0
2019-11-26,1652841,252527,24226.0
2019-11-27,1644216,256546,24443.0
2019-11-28,1656197,253979,24305.0
2019-11-29,1850823,286699,32107.0
2019-11-30,1752607,255497,28178.0
