brand,purchases,buyers,gmv,avg_purchase_value
samsung,372904,192790,101271688.32,271.5757629845751
apple,308922,134457,238712020.58,772.725867953723
xiaomi,124900,75323,20452486.15,163.75088991192953
huawei,47202,30151,9663787.08,204.7325765857379
cordiant,27534,19606,1304972.07,47.39493244715624
lucente,26133,15341,6649742.79,254.45768912868786
oppo,25967,16555,5900574.74,227.23359417722494
lg,21604,14902,8626379.67,399.2954855582299
sony,17038,11044,6341082.98,372.1729651367532
artel,15388,11203,2675951.86,173.89861320509488
