category_code,purchases,gmv,buyers
electronics.smartphone,720625,334855345.68,322110
electronics.audio.headphone,71335,9208309.66,42128
electronics.video.tv,51834,20879123.66,32584
electronics.clocks,41140,11369826.29,24605
appliances.kitchen.washer,35917,10460046.16,23074
computers.notebook,34021,19657313.13,20389
appliances.environment.vacuum,30571,4478737.03,23019
appliances.kitchen.refrigerators,24260,8552734.31,16948
apparel.shoes,14395,1263447.26,9188
electronics.tablet,11740,3131170.42,7640
